Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
CITY,38,44,20,476.7,9534.0,"2026-04-28, 1:34:44:484 PM",2026042801070625
CITY,6,44,60,477.0,28620.0,"2026-04-28, 1:34:28:728 PM",2026042801070492
CITY,32,44,100,477.0,47700.0,"2026-04-28, 1:34:28:728 PM",2026042801070491
CITY,48,44,500,477.0,238500.0,"2026-04-28, 1:34:28:727 PM",2026042801070490
CITY,49,44,12,477.0,5724.0,"2026-04-28, 1:34:28:727 PM",2026042801070489
CITY,52,44,25,477.1,11927.5,"2026-04-28, 1:34:13:199 PM",2026042801070429
CITY,38,44,50,477.1,23855.0,"2026-04-28, 1:34:13:198 PM",2026042801070428
CITY,45,7,265,477.2,126458.0,"2026-04-28, 1:32:22:252 PM",2026042801069941
CITY,41,7,50,477.3,23865.0,"2026-04-28, 1:32:22:252 PM",2026042801069940
CITY,53,7,50,477.3,23865.0,"2026-04-28, 1:32:22:252 PM",2026042801069939
CITY,53,7,10,477.4,4774.0,"2026-04-28, 1:32:22:252 PM",2026042801069938
CITY,42,7,25,477.5,11937.5,"2026-04-28, 1:32:22:252 PM",2026042801069937
CITY,58,29,20,478.1,9562.0,"2026-04-28, 1:23:40:118 PM",2026042801068011
CITY,44,29,40,478.1,19124.0,"2026-04-28, 1:23:40:117 PM",2026042801068010
CITY,58,44,30,478.1,14343.0,"2026-04-28, 1:18:48:093 PM",2026042801066795
CITY,42,44,100,478.0,47800.0,"2026-04-28, 1:18:34:347 PM",2026042801066757
CITY,53,44,7,478.1,3346.7000000000003,"2026-04-28, 1:18:17:106 PM",2026042801066643
CITY,57,44,382,478.1,182634.2,"2026-04-28, 1:18:17:106 PM",2026042801066642
CITY,57,58,18,478.1,8605.800000000001,"2026-04-28, 1:17:53:641 PM",2026042801066556
CITY,45,54,80,477.2,38176.0,"2026-04-28, 1:08:30:705 PM",2026042801064069
CITY,53,54,50,477.3,23865.0,"2026-04-28, 1:08:30:705 PM",2026042801064068
CITY,58,54,10,480.0,4800.0,"2026-04-28, 1:07:35:205 PM",2026042801063812
CITY,36,10,72,479.0,34488.0,"2026-04-28, 1:07:31:273 PM",2026042801063789
CITY,32,10,36,479.0,17244.0,"2026-04-28, 1:07:31:273 PM",2026042801063788
CITY,25,37,26,480.0,12480.0,"2026-04-28, 1:07:15:816 PM",2026042801063744
CITY,4,37,10,480.0,4800.0,"2026-04-28, 1:07:15:815 PM",2026042801063743
CITY,34,58,40,481.0,19240.0,"2026-04-28, 1:05:37:503 PM",2026042801063349
CITY,45,58,42,481.0,20202.0,"2026-04-28, 1:05:27:866 PM",2026042801063308
CITY,16,22,10,480.9,4809.0,"2026-04-28, 1:05:11:536 PM",2026042801063201
CITY,58,22,10,480.9,4809.0,"2026-04-28, 1:04:53:732 PM",2026042801063104
CITY,32,48,64,479.0,30656.0,"2026-04-28, 12:59:20:403 PM",2026042801061591
CITY,47,48,100,479.0,47900.0,"2026-04-28, 12:59:20:403 PM",2026042801061590
CITY,58,48,136,479.0,65144.0,"2026-04-28, 12:59:20:402 PM",2026042801061589
CITY,58,81,10,479.0,4790.0,"2026-04-28, 12:55:45:149 PM",2026042801060511
CITY,57,38,10,480.0,4800.0,"2026-04-28, 12:54:17:832 PM",2026042801060161
CITY,45,29,18,480.8,8654.4,"2026-04-28, 12:51:56:166 PM",2026042801059319
CITY,45,58,300,481.0,144300.0,"2026-04-28, 12:50:11:639 PM",2026042801058816
CITY,45,34,100,481.0,48100.0,"2026-04-28, 12:49:48:153 PM",2026042801058714
CITY,45,58,81,481.0,38961.0,"2026-04-28, 12:49:48:153 PM",2026042801058713
CITY,41,58,58,481.0,27898.0,"2026-04-28, 12:49:36:857 PM",2026042801058656
CITY,45,94,400,480.8,192320.0,"2026-04-28, 12:49:01:839 PM",2026042801058503
CITY,43,94,100,480.8,48080.0,"2026-04-28, 12:49:00:368 PM",2026042801058497
CITY,41,42,42,477.2,20042.4,"2026-04-28, 12:45:41:304 PM",2026042801057579
CITY,10,42,20,477.2,9544.0,"2026-04-28, 12:45:40:559 PM",2026042801057576
CITY,41,42,50,477.2,23860.0,"2026-04-28, 12:45:34:458 PM",2026042801057553
CITY,49,72,18,477.0,8586.0,"2026-04-28, 12:45:23:291 PM",2026042801057493
CITY,49,54,20,477.0,9540.0,"2026-04-28, 12:44:42:404 PM",2026042801057268
CITY,45,54,83,477.0,39591.0,"2026-04-28, 12:44:42:404 PM",2026042801057267
CITY,57,54,10,477.1,4771.0,"2026-04-28, 12:44:42:404 PM",2026042801057266
CITY,58,54,40,477.1,19084.0,"2026-04-28, 12:44:42:404 PM",2026042801057265
CITY,88,54,82,477.1,39122.2,"2026-04-28, 12:44:42:403 PM",2026042801057264
CITY,88,22,18,477.1,8587.800000000001,"2026-04-28, 12:44:18:682 PM",2026042801057160
CITY,38,42,30,477.2,14316.0,"2026-04-28, 12:43:11:235 PM",2026042801056828
CITY,7,59,10,477.2,4772.0,"2026-04-28, 12:42:32:103 PM",2026042801056619
CITY,45,17,17,477.0,8109.0,"2026-04-28, 12:38:59:266 PM",2026042801055057
CITY,96,54,30,480.0,14400.0,"2026-04-28, 12:35:35:799 PM",2026042801053299
CITY,36,54,35,480.0,16800.0,"2026-04-28, 12:33:52:945 PM",2026042801052385
CITY,36,51,90,480.0,43200.0,"2026-04-28, 12:33:52:944 PM",2026042801052384
CITY,45,51,10,480.0,4800.0,"2026-04-28, 12:32:18:675 PM",2026042801051776
CITY,58,22,50,480.0,24000.0,"2026-04-28, 12:30:31:359 PM",2026042801050977
CITY,58,58,14,481.0,6734.0,"2026-04-28, 12:30:23:445 PM",2026042801050923
CITY,49,58,50,481.0,24050.0,"2026-04-28, 12:29:49:227 PM",2026042801050694
CITY,45,58,180,481.0,86580.0,"2026-04-28, 12:29:37:611 PM",2026042801050572
CITY,50,58,412,481.0,198172.0,"2026-04-28, 12:28:11:186 PM",2026042801050031
CITY,50,44,300,480.5,144150.0,"2026-04-28, 12:28:11:186 PM",2026042801050030
CITY,50,46,18,480.0,8640.0,"2026-04-28, 12:28:11:186 PM",2026042801050029
CITY,50,58,20,480.0,9600.0,"2026-04-28, 12:28:11:186 PM",2026042801050028
CITY,50,94,150,480.0,72000.0,"2026-04-28, 12:28:11:186 PM",2026042801050027
CITY,45,7,226,478.2,108073.2,"2026-04-28, 12:28:05:067 PM",2026042801049970
CITY,36,7,10,478.2,4782.0,"2026-04-28, 12:24:13:400 PM",2026042801048170
CITY,62,48,14,475.1,6651.400000000001,"2026-04-28, 12:22:30:203 PM",2026042801047430
CITY,62,39,10,475.1,4751.0,"2026-04-28, 12:22:03:271 PM",2026042801047170
CITY,58,33,18,478.2,8607.6,"2026-04-28, 12:20:38:514 PM",2026042801046561
CITY,57,42,20,475.0,9500.0,"2026-04-28, 12:20:35:646 PM",2026042801046553
CITY,53,57,18,478.1,8605.800000000001,"2026-04-28, 12:19:44:634 PM",2026042801046219
CITY,41,32,50,478.2,23910.0,"2026-04-28, 12:18:45:474 PM",2026042801045821
CITY,13,32,50,478.2,23910.0,"2026-04-28, 12:18:45:474 PM",2026042801045820
CITY,48,42,100,479.0,47900.0,"2026-04-28, 12:17:59:055 PM",2026042801045398
CITY,58,42,10,479.0,4790.0,"2026-04-28, 12:17:59:055 PM",2026042801045397
CITY,58,42,19,479.0,9101.0,"2026-04-28, 12:17:59:055 PM",2026042801045396
CITY,40,42,51,479.0,24429.0,"2026-04-28, 12:17:59:055 PM",2026042801045395
CITY,40,7,29,479.0,13891.0,"2026-04-28, 12:15:28:962 PM",2026042801044383
CITY,40,62,10,479.0,4790.0,"2026-04-28, 12:15:01:800 PM",2026042801044178
CITY,40,48,10,479.0,4790.0,"2026-04-28, 12:13:47:568 PM",2026042801043630
CITY,39,94,350,480.0,168000.0,"2026-04-28, 12:13:33:852 PM",2026042801043552
CITY,39,13,50,480.0,24000.0,"2026-04-28, 12:13:15:168 PM",2026042801043428
CITY,58,13,250,480.0,120000.0,"2026-04-28, 12:13:15:168 PM",2026042801043427
CITY,58,94,130,480.0,62400.0,"2026-04-28, 12:12:42:539 PM",2026042801043217
CITY,58,58,205,481.0,98605.0,"2026-04-28, 12:11:57:476 PM",2026042801042957
CITY,58,22,18,482.0,8676.0,"2026-04-28, 12:10:18:004 PM",2026042801042328
CITY,48,1,20,479.2,9584.0,"2026-04-28, 12:07:05:647 PM",2026042801041043
CITY,57,1,80,480.0,38400.0,"2026-04-28, 12:07:05:646 PM",2026042801041042
CITY,57,13,170,480.0,81600.0,"2026-04-28, 12:06:38:025 PM",2026042801040829
CITY,17,13,100,480.0,48000.0,"2026-04-28, 12:06:38:025 PM",2026042801040828
CITY,53,13,30,480.9,14427.0,"2026-04-28, 12:06:38:024 PM",2026042801040827
CITY,58,22,10,481.0,4810.0,"2026-04-28, 12:05:55:049 PM",2026042801040500
CITY,58,40,10,481.0,4810.0,"2026-04-28, 12:05:42:027 PM",2026042801040396
CITY,58,22,40,481.0,19240.0,"2026-04-28, 12:05:25:213 PM",2026042801040248
CITY,58,58,10,481.0,4810.0,"2026-04-28, 12:05:00:266 PM",2026042801040041
CITY,33,13,21,483.0,10143.0,"2026-04-28, 12:04:25:556 PM",2026042801039775
