Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
EBL,8,36,18,698.0,12564.0,"2026-04-28, 11:50:56:411 AM",2026042801032938
EBL,8,54,12,698.0,8376.0,"2026-04-28, 11:49:34:615 AM",2026042801032334
EBL,16,54,10,699.0,6990.0,"2026-04-28, 11:49:26:018 AM",2026042801032248
EBL,46,54,80,699.0,55920.0,"2026-04-28, 11:49:26:018 AM",2026042801032247
EBL,46,34,145,699.0,101355.0,"2026-04-28, 11:47:08:038 AM",2026042801031234
EBL,46,58,25,699.0,17475.0,"2026-04-28, 11:46:54:348 AM",2026042801031134
EBL,58,58,10,699.0,6990.0,"2026-04-28, 11:45:31:430 AM",2026042801030486
EBL,58,58,20,699.0,13980.0,"2026-04-28, 11:40:35:865 AM",2026042801027853
EBL,49,35,129,699.0,90171.0,"2026-04-28, 11:35:42:370 AM",2026042801024662
EBL,58,58,18,699.0,12582.0,"2026-04-28, 11:35:03:088 AM",2026042801024347
EBL,39,57,500,699.9,349950.0,"2026-04-28, 11:33:22:829 AM",2026042801023033
EBL,10,44,10,699.0,6990.0,"2026-04-28, 11:32:07:830 AM",2026042801022185
EBL,48,57,35,699.9,24496.5,"2026-04-28, 11:28:35:716 AM",2026042801020053
EBL,42,57,200,699.9,139980.0,"2026-04-28, 11:24:21:074 AM",2026042801017699
EBL,42,22,100,698.0,69800.0,"2026-04-28, 11:24:21:074 AM",2026042801017698
EBL,17,22,27,698.0,18846.0,"2026-04-28, 11:12:43:296 AM",2026042801010085
EBL,38,44,30,700.0,21000.0,"2026-04-28, 11:11:31:415 AM",2026042801009064
EBL,21,4,10,701.9,7019.0,"2026-04-28, 11:10:25:959 AM",2026042801008259
EBL,21,54,41,701.9,28777.9,"2026-04-28, 11:10:25:959 AM",2026042801008258
EBL,38,1,20,700.0,14000.0,"2026-04-28, 11:10:18:555 AM",2026042801008152
EBL,42,1,10,700.0,7000.0,"2026-04-28, 11:10:18:555 AM",2026042801008151
EBL,59,54,15,701.9,10528.5,"2026-04-28, 11:09:23:510 AM",2026042801007407
EBL,59,54,15,701.9,10528.5,"2026-04-28, 11:08:43:498 AM",2026042801006937
EBL,59,54,15,701.9,10528.5,"2026-04-28, 11:08:04:585 AM",2026042801006535
EBL,50,54,14,701.9,9826.6,"2026-04-28, 11:07:47:117 AM",2026042801006383
EBL,59,4,10,701.8,7018.0,"2026-04-28, 11:07:40:480 AM",2026042801006350
EBL,43,52,30,702.0,21060.0,"2026-04-28, 11:03:17:298 AM",2026042801002974
EBL,57,52,250,702.0,175500.0,"2026-04-28, 11:01:33:694 AM",2026042801001689
EBL,57,54,50,701.9,35095.0,"2026-04-28, 11:01:33:694 AM",2026042801001688
